,text
121,Poor personal hygiene in an older patient may indicate memory loss.
122,"I Diagnostic features I 
-Decline in recent memory, thinking and judgement, orientation, language."
123,"-Patients often appear apathetic or disinterested, but may appear alert and appropriate despite 
poor memory."
124,"-Decline in everyday functioning (dressing, washing, cooking)."
125,"-Loss of emotional control -patients may be easily upset, tearful or irritable."
126,"-Common in older patients, very rare in youth or middle age."
127,"Tests of memory and thinking may include: 
-ability to recall names of three common objects immediately and again after three minutes; 
-ability to name days of week in reverse order."
128,"I Differential diagnosis I 
Examine for other illnesses causing memory loss."
129,"Examples include: 
depression (F32#) 
urinary infection 
subdural haematoma 
other infectious illnesses anaemia 
B12 or folate deficiency 
syphilis 
HIV infection 
normal pressure hydrocephalus 
-Prescribed drugs or alcohol may affect memory and concentration."
130,"-Sudden increases in confusion may indicate a physical illness (e. g., acute infectious illness) 
or toxicity from medication."
131,"If confusion, wandering attention or agitation are present, see 
Delirium -FOS."
132,"-Depression may cause memory and concentration problems similar to those of dementia, 
especially in older patients."
133,"If low or sad mood is prominent, see Depression -F32#."
134,"8 Dementia -FOO# Essential information for patient and family 
Dementia is frequent in old age."
135,"Memory loss and confusion may cause behaviour problems (e. g., agitation, suspiciousness, 
emotional outbursts)."
136,"Memory loss usually proceeds slowly, but course is quite variable."
137,Physical illness or mental stress can increase confusion.
138,-Provide available information and describe community resources.
139,"I Counselling of patient and family I 
Monitor the patient's ability to perform daily tasks safely."
140,"If memory loss is mild, consider use of memory aids or reminders."
141,Avoid placing patient in unfamiliar places or situations.
142,"Consider ways to reduce stress on those caring for the patient (e. g., self-help groups)."
143,"Support 
from other families caring for relatives with dementia may be helpful."
144,Discuss planning of legal and financial affairs.
145,"As appropriate, discuss arrangements for support in the home, community or day care pro­
grammes, or residential placement."
146,Uncontrollable agitation may require admission to a hospital or nursing home.
147,"I Medication I 
Use sedative or hypnotic medications (e.g., benzodiazepines) cautiously; they may in­
crease confusion."
148,"Antipsychotic medication in low doses (e. g., haloperidol 0.S-1.0 mg once or twice a day) 
may sometimes be needed to control agitation, psychotic symptoms or aggression."
149,"Beware 
of drug side-effects (Parkinsonian symptoms, anticholinergic effects) and drug interactions."
150,"Specialist consultation I 
Consider consultation for: 
uncontrollable agitation 
sudden onset or worsening of memory loss 
physical causes of dementia requiring specialist treatment (e. g., syphilis, subdural haema­
toma)."
151,Consider placement in a hospital or nursing home if intensive care is needed.
152,"Dementia -FOO# 9 Delirium -F05 
I Presenting complaints I 
-Families may request help because patient is confused or agitated."
153,-Delirium may occur in patients hospitalized for physical conditions.
154,-Patients may appear uncooperative or fearful.
155,"I Diagnostic features I 
Acute onset of: 
-confusion (patient appears confused, struggles to understand surroundings) 
-clouded thinking or awareness."
156,"Often accompanied by: 
Poor memory 
emotional upset 
wandering attention 
withdrawal from others 
suspiciousness agitation 
loss of orientation 
hearing voices 
visions or illusions 
disturbed sleep 
(reversal of sleep pattern) 
Symptoms often develop rapidly and may change from hour to hour."
157,May occur in patients with previously normal mental function or in those with dementia.
158,"Milder stresses (medication, mild infections) may cause delirium in older patients or in those 
with dementia."
159,"I Differential diagnosis I 
Identify and correct possible physical causes of confusion, such as: 
-alcohol intoxication or withdrawal 
drug intoxication or withdrawal (including prescribed drugs) 
severe infections 
metabolic changes (e. g., liver disease, dehydration, hypoglycaemia) 
head trauma 
hypoxia 
If symptoms persists, delusions and disordered thinking predominate, and no physical cause 
is identified, see Acute psychotic disorders -F23."
160,"10 Delirium -FOS Essential information for patient and family 
-Strange behaviour or speech are symptoms of an illness."
161,"I Counselling of patient and family I 
-Take measures to prevent the patient from harming him/herself or others (e. g., remove 
unsafe objects, restrain if necessary)."
162,-Supportive contact with familiar people can reduce confusion.
163,-Provide frequent reminders of time and place to reduce confusion.
164,"-Hospitalization may be required because of agitation or because of physical illness which is 
cau ing delirium."
165,"l Mec ication I 
-Avcid use of sedative or hypnotic medications (e. g., benzodiazepines) except for the treat­
me t of alcohol or sedative withdrawal."
166,"-Antipsychotic medication in low doses (e. g., haloperidol O.S-l.Omg once or twice a day) 
ma sometimes be needed to control agitation, psychotic symptoms or aggression."
167,"Beware 
of drug side-effects (Parkinsonian symptoms, anticholinergic effects) and drug interactions."
168,"I Spe ialist consultation I 
Con si er specialist consultation for: 
-physical illness requiring specialist treatment 
-uncontrollable agitation."
169,"Delirium -FOS 11 Alcohol use disorders -Fl 0 
I Presenting complaints I 
Patient may present with: 
-depressed mood 
-nervousness 
-insomnia 
-physical complications of alcohol use (ulcer, gastritis, liver disease) 
-accidents or injuries due to alcohol use 
-poor memory or concentration 
There may also be: 
-legal and social problems due to alcohol use (marital problems, missed work) 
-signs of alcohol withdrawal (sweating, tremors, morning sickness, hallucinations)."
170,Patients may sometimes deny or be unaware of alcohol problems.
171,"Family may request help 
before patient does (e. g., because patient is irritable at home, missing work)."
172,"I Diagnostic features I 
Harmful alcohol use: 
-Heavy alcohol use (quantity defined by local standards, e. g., over 21 drinks per week for 
men, over 14 drinks per week in women) 
-Overuse of alcohol has caused physical harm (e. g., liver disease, gastrointestinal bleeding), 
psychological harm (e. g., depression or anxiety due to alcohol) or has led to harmful social 
consequences (e. g., loss of job)."
173,"Standard questionnaires (e.g., AUDIT) may help identify harmful use."
174,"Alcohol dependence: 
-continued alcohol use despite harm 
-difficulty controlling alcohol use 
-strong desire to use alcohol 
-tolerance (drinks large amounts of alcohol without appearing intoxicated) 
-withdrawal (anxiety, tremors, sweating after stopping drinking)."
175,"I Differential diagnosis I 
-Reducing alcohol use may be desirable for some patients who do not fit the above guidelines."
176,-Symptoms of anxiety or depression may occur with heavy alcohol use.
177,"If these continue 
after a period of abstinence, see Depression -F32#, and Generalized anxiety -F41.1."
178,"12 Alcohol use disorders - FlO I=cc'"",hf-;""I information for patient and family 
dependence is an illness with serious consequences."
179,"""'''JLlLJUJ.l< or reducing alcohol use will bring mental and physical benefits."
180,"LHUP""""'IS during pregnancy can harm the baby."
181,"cases of harmful alcohol use without dependence, controlled or reduced drinking' 
~'-<""VH«'U''- goal."
182,"p~'""''-''''' with alcohol dependence, abstinence from alcohol is the goal."
183,"Because 
abstinence can cause withdrawal symptoms, medical supervision is necessary."
184,"n'-""~PJ'-J are common."
185,Controlling or stopping drinking often requires several attempts.
186,"of patient and family 
willing t9 stop now 
definite day to quit."
187,"LJ"",'1U'"" strategies to avoid or cope with high-risk situations (e. g., social situations, stress-
specific plans to avoid drinking (e. g., ways to face stressful events without alcohol, 
to respond to friends who still drink)."
188,patients to identify family members or friends who will support stopping alcohol use.
189,"JJ"",'1U."""
190,symptoms and management of alcohol withdrawal.
191,",,-u."
192,"'~,,-, ... ~ drinking is a reasonable goal (or if patient is unwilling to quit) 
a clear goal for decreased use (e.g., no more than two drinks per day with two 
«,'-v~ .. ,-1J-""'-'-days per week)."
193,"LJh''1U,JJ strategies to avoid or cope with high-risk situations (e. g., social situations, stress-
Int .. h,1'H'C> self-monitoring procedures and safer drinking behaviours (e. g., time restrictions, 
down drinking)."
194,"not willing to stop or reduce use now 
reject or blame."
195,"point out medical, psychological and social problems caused by alcohol."
196,a future appointment to reassess health and alcohol use.
197,"ts who do not succeed or relapse 
and give credit for any success."
198,"LJ,,''1U'"" situations which led to relapse."
199,to earlier steps above.
200,"""'''-'''-'''I-'.U organizations (e. g., Alcoholics Anonymous) are often helpful."
201,"from alcohol may require short-term use of benzodiazepines (e. g., chlordiaze-
2S-100mg once or twice a day) but outpatient use should be closely monitored."
202,"alcohol withdrawal (with hallucinations and autonomic instability) may require hos­
and use of higher dose benzodiazepines."
203,"may help to maintain abstinence from alcohol in some cases, but routine use is 
1-I<o'.Wj.1L<OU counselling programmes for alcohol dependence should be considered, if available."
204,"use disorders -FIO 13 Drug use disorders -Fll # 
I Presenting complaints 
Patients may have: 
-depressed mood 
-nervousness 
-insomnia 
-physical complications of drug use 
-accidents or injuries due to drug use."
205,"There may also be: 
-unexplained change in behaviour, appearance, or functioning 
-denial of drug use 
-complaints of pain or direct request for prescriptions for narcotics or other drugs 
-legal and social problems due to drug use (marital problems, missed work)."
206,"Signs of drug withdrawal may be present, i. e., 
-Opiates:nausea, sweating, tremors 
-Sedatives: anxiety, tremors, hallucinations 
-Stimulants: depression, moodiness."
207,"Family may request help before patient (e. g., irritable at home, missing work)."
208,"I Diagnostic features I 
-Heavy or frequent use 
-Drug use has caused physical harm (e. g., injuries while intoxicated), psychological harm 
(e. g., psychiatric symptoms due to drug use) or has led to harmful social consequences 
(e. g., loss of job, severe family problems)."
209,-Difficulty controlling drug use.
210,-Strong desire to use drugs.
211,-Tolerance (can use large amounts of drugs without appearing intoxicated).
212,"-Withdrawal (anxiety, tremors, or other withdrawal symptoms after stopping use)."
213,"I Differential diagnosis I 
-Drug use disorders commonly coexist with alcohol use disorders (see Alcohol use disorders -
F1O#)."
214,-Symptoms of anxiety or depression may occur with heavy drug use.
215,"If these continue after 
a period of abstinence (e. g., about four weeks), see Depression -F32# and Generalized anxiety 
-F41.1."
216,"14 Drug use disorders -F1l# Essential information for patient and family 
Abstinence is the goal; the patient and family should concentrate on this."
217,Stopping or reducing drug use will bring mental and physical benefits.
218,Using drugs during pregnancy will hann the baby.
219,"For intravenous drug users, there is a risk of getting or giving HIV infection, hepatitis or 
other bloodborne infections."
220,"Discuss appropriate precautions (use condoms, do not re-use 
needles)."
221,Relapse is common.
222,Controlling or stopping drug use often requires several attempts.
223,"of patient and family 
For patients willing to stop now 
Set a definite day to quit."
224,"Discuss strategies to avoid or cope with high-risk situations (e. g., social situations, stress­
ful events)."
225,"Make specific plans to avoid drug use (e.g., how to respond to friends who still use drugs)."
226,Identify family or friends who will support stopping drug use.
227,"If reducing drug use is a reasonable goal (or if patient is unwilling to quit) 
Negotiate a clear goal for decreased use (e.g., no more than one marijuana cigarette per 
day with two drug-free days per week)."
228,"Discuss strategies to avoid or cope with high-risk situations (e. g., social situations, stress­
ful events)."
229,"Introduce self-monitoring procedures and safer drug-use behaviours (e. g., time restrictions, 
slowing down rate of use)."
230,"For patients not willing to stop or reduce use now 
Do not reject or blame."
231,"Clearly point out medical, psychological and social problems caused by drugs."
232,Make a future appointment to reassess health and discuss drug use.
233,"For patients who do not succeed or relapse 
Identify and give credit for any success."
234,Discuss situations which led to relapse.
235,Return to earlier steps above.
236,"Self-help organizations (e. g., Narcotics Anonymous) are often helpful."
237,"Medication I 
Withdrawal from sedatives may require use of benzodiazepines (e. g., chlordiazepoxide 
25-50 mg up to four times a day), but outpatient use should be closely monitored."
238,"Severe 
sedative withdrawal (with hallucinations and autonomic instability) may require hospitali­
zation and use of higher dose antianxiety drugs."
239,"Withdrawal from stimulants, cocaine or opiates is distressing and may require medical su­
pervision."
